,roundness,slenderness,hu1,hu2,hu3,hu4,hu5,hu6,hu7
0,0.0,1.1,2.420400796780051,6.86385393215579,8.90978427033301,8.680253847843613,-17.793874372960204,-12.136545475907006,17.53218749046034
1,0.0,3.81,1.9320004865808662,5.398190462512133,5.498279188630365,5.717513733887702,11.3532697206661,8.432083924096943,11.785081348454838
2,0.0,1.09,2.4632665150057527,6.626143622282497,9.360840463058091,9.01999703957742,-18.212489164214155,-12.35928144649196,19.2214900577184
3,0.76,1.02,1.7178617666648706,4.786394273524725,6.874530445528498,7.090336846979597,-14.103432971693238,-9.62355141746694,-14.512994887027135
4,0.9,1.01,2.279235718100715,7.398216935315875,8.874887503812591,9.83095537655987,-19.24660150154448,13.625561866826812,19.48414265917092
5,0.0,1.13,2.059126033526061,5.889215939584661,6.637376930370443,6.567669129740707,13.17105448951712,9.514744261874249,-14.37116366246744
6,0.0,1.48,1.1438258682056288,3.627971456379819,3.4895521735588035,3.6193106790095224,7.216773674842276,5.859516554950191,-7.546386259466277
7,0.0,1.02,1.937316754466265,5.430365600734261,5.970109573995334,5.75558107679837,11.620734176179894,8.480818314398828,-12.606359788436606
8,0.67,1.0,2.1813869091222373,6.710710313752595,7.109980561168101,6.530391892344124,13.877545420879668,-10.209308804310155,13.370657212229188
9,0.0,7.1,0.9007945598682809,4.939759336756692,4.9463122486747535,4.478073031454342,-9.517564577369534,-7.112970644871487,-9.24464041165681
