,roundness,slenderness,hu1,hu2,hu3,hu4,hu5,hu6,hu7
0,5.91712,1.06,2.321578283748498,7.953841588118142,10.493731522624373,11.45640089290052,-22.439231422474062,15.8499377066296,-23.15866308821979
1,4.8671,1.11,2.315081441853926,7.417185143130214,10.042199752186928,10.637112806329382,-21.010655001897984,14.653901970916618,-21.39685929966797
2,5.23632,1.04,2.1047640029747012,7.555657269198502,11.204174893576495,11.204832314554453,22.619361421155702,15.044093704171656,22.513190776022046
3,5.14718,1.12,2.1857034802646593,6.868799190952839,10.595953153653335,12.23871899134668,-23.68140545019792,-15.773991560830932,24.134991826053824
4,5.23899,1.07,2.3370534443720192,7.434243398001132,10.896519471856129,11.424467373887895,22.66577469391592,-15.358739284182706,-22.838750161020425
5,4.6388,1.07,2.346414847570535,7.4063220839803385,10.787907471526465,10.542341808888674,21.278807863018518,-14.260543572179389,-21.483867732026162
6,6.03301,1.08,2.2242814390845926,7.5128793668605915,10.085977331183226,11.102748163727648,-21.794195037229137,-15.07453220480206,-21.91865047080002
7,5.2196,1.0,2.1861931821139353,7.679889952127519,10.552832568424348,10.95558074619941,-21.718508168279374,15.486167118768197,22.41223306489915
8,6.58511,1.03,2.2641628260885485,8.489403343217571,10.121119961246098,10.44395572689902,20.868929506163337,14.740491589100278,20.885399871099697
9,5.12441,1.11,1.7445042158202573,9.513656183650461,10.122542871175527,10.732226942661516,21.434825501955466,-15.61926252119593,-21.231416938190183
10,6.90734,1.1,1.9371190386564368,6.852835936745405,9.404999500645623,10.31598851596125,20.393570336185004,-13.747571403031563,-20.276117160379176
11,5.17332,1.12,2.1815174494245744,6.803162688213965,10.346482604113696,10.927018003448229,-21.564240608173716,14.329707383277645,22.89527216566992
